coeff,gene_names
0.06183898531319141,RPL37
0.06097259029520051,GM46620
0.05999523381360797,IFI27L2A
0.05947895033917239,RPS29
0.05309342415966064,ASS1
0.052468321678808535,ASPM
0.05214315670683144,RFLNA
0.051495641438886436,PSMD2
0.05145309780655787,CACNA1E
0.05125591648970302,GM14718
0.05095591060308908,SFN
0.04889579699288446,PAICS
0.04888903994046289,GM11808
0.0488870603310792,GFRA2
0.04880256750100307,SLAMF1
0.0485839676534488,WFDC15A
0.04851484128639965,POU6F2
0.04728672696603365,CCNB1IP1
0.04684418786420986,MCM2
0.046829484188076836,PDAP1
0.046751826192179075,BUB3
0.0463463835554413,ADAM12
0.04573472721351555,GM17494
0.045685011638642394,DGKH
0.0456827173718433,COX7C
0.04518636758875098,LSM7
0.044994829926350705,HOXA6
0.044632389278797646,UBE2C
0.044315613450828656,RASA4
0.044063514128666145,PDZD2
0.0440045744690762,NDC80
0.04393084701989459,EMP2
0.04349438696430566,HMGA1
0.043256642305021284,EEPD1
0.04321747241860835,MTHFD2
0.04304568988756494,CDC25B
0.04284407397069977,CD68
0.04251120618835948,TMED6
0.04186041101407267,1110038B12RIK
0.041780177097546806,GM43623
0.04165226529984836,BOLA2
0.041363423259833915,IFIT3B
0.041272884588961195,UQCR11
0.04095832688742919,GM15987
0.040724480709309493,ADGRE1
0.040709817717173635,ARHGAP11A
0.04052304395937066,PNN
0.04040174665724014,GM10131
0.04016832195869517,ANXA5
0.04011940354861241,AY036118
