coeff,gene_names
0.6197839953354954,CAPZA1
0.546698817794294,PABPC1
0.537050166278239,EEF2
0.4058120165553163,MCM6
0.3836140627216906,GM11808
0.3238892732501359,CHCHD2
0.3192628006896721,AFM
0.3115281093019538,UBA52
0.300306811041225,OSBPL3
0.29184349733157455,HYPK
0.28541763804535586,VCP
0.28507921843080236,MTA2
0.28483439964023655,ENO1B
0.2838671770527707,GAPDH
0.28373971302864126,EEF1A1
0.279072043997501,PTBP1
0.263985848516697,EZR
0.25544405918494556,SH2D1B1
0.25452827912800513,CASP3
0.2506605424980534,PSMD2
0.24951366003015701,TUBA1B
0.24367571385826894,RPA1
0.24309764569520032,GSTP1
0.2400959563675126,CD180
0.23899945524297256,SLPI
0.23661402827940564,TOX
0.2344096689828235,CNST
0.23438736178938566,CD40
0.23345540442587248,NUGGC
0.233105461869818,CDC25B
0.23149248491378407,LITAF
0.22802228539932382,STT3A
0.22791063285377522,NONO
0.22710705099341677,PRKCD
0.22706717069509103,GM11683
0.22471296090678236,UBA2
0.21963021620512857,ENO1
0.21883527062949096,TAGAP
0.2164103305616129,ANK3
0.21383216628028281,EXOSC10
0.21120311122186478,WDR36
0.21002960127337583,TNFRSF8
0.2038492966890883,TMEM123
0.20132820095590695,RPS29
0.20116758675206983,MCM2
0.1966242404124757,ELP2
0.19543365704674945,DLGAP5
0.19479233647947458,PRKCH
0.19414589833071033,DCK
0.1940510447590536,AY036118
